longitude,latitude,neighbourhood
-79.39824,43.6884021,Yonge-St.Clair
-79.486733,43.7648446,York University Heights
-79.424265,43.7520163,Lansing-Westgate
-79.457131,43.7151518,Yorkdale-Glen Park
-79.49781,43.6351968,Stonegate-Queensway
-79.303276,43.7821746,Tam O'Shanter-Sullivan
-79.297833,43.6700342,The Beaches
-79.564603,43.7370233,Thistletown-Beaumond Heights
-79.350136,43.7073711,Thorncliffe Park
-79.331359,43.6895418,Danforth East York
-79.42774,43.6910375,Humewood-Cedarvale
-79.53834,43.6324454,Islington-City Centre West
-79.329506,43.6840589,Danforth
-79.497961,43.7114824,Rustic
-79.217917,43.7389565,Scarborough Village
-79.432936,43.6360516,South Parkdale
-79.346126,43.6438329,South Riverdale
-79.378751,43.7548284,St.Andrew-Windfields
-79.293802,43.6957717,Taylor-Massey
-79.5562,43.7594984,Humber Summit
-79.538874,43.7429819,Humbermede
-79.154769,43.7827498,Centennial Scarborough
-79.378917,43.659504,Church-Yonge Corridor
-79.277762,43.7125963,Clairlea-Birchmount
-79.236567,43.720895,Cliffcrest
-79.337431,43.7164535,Flemingdon Park
-79.446399,43.6777018,Corso Italia-Davenport
-79.271355,43.7341383,Ionview
-79.472993,43.6694531,Junction Area
-79.35506,43.6893321,Broadview North
-79.545776,43.6653597,Princess-Rosethorn
-79.351138,43.6717719,North Riverdale
-79.568076,43.6447921,Etobicoke West Mall
-79.427796,43.7041006,Forest Hill North
-79.513898,43.7463889,Glenfield-Jane Heights
-79.323814,43.6722783,Greenwood-Coxwell
-79.199094,43.7470054,Guildwood
-79.415077,43.6500931,Trinity-Bellwoods
-79.312022,43.7286118,Victoria Village
-79.373495,43.6338314,Waterfront Communities-The Island
-79.173316,43.7675413,West Hill
-79.59243,43.7132824,West Humber-Clairville
-79.451104,43.7768562,Westminster-Branson
-79.261123,43.7253303,Kennedy Park
-79.548498,43.699461,Kingsview Village-The Westway
-79.382142,43.7969348,Bayview Woods-Steeles
-79.446875,43.7416843,Clanton Park
-79.472947,43.6857987,Keelesdale-Eglinton West
-79.316247,43.7060521,O'Connor-Parkview
-79.334034,43.6963036,Old East York
-79.408804,43.6822344,Casa Loma
-79.397144,43.6535376,Kensington-Chinatown
-79.513093,43.654623,Kingsway South
